sensor_type, device_type, timestamps, x, y, z, 
accelerometer,smartwatch,1454460161006708496,-0.953,-5.817,7.674
accelerometer,smartwatch,1454460161011225098,-0.972,-5.740,7.617
accelerometer,smartwatch,1454460161015934082,-0.972,-5.740,7.617
accelerometer,smartwatch,1454460161020476318,-0.972,-5.740,7.617
accelerometer,smartwatch,1454460161023340088,-1.010,-5.683,7.559
accelerometer,smartwatch,1454460161027903565,-1.029,-5.644,7.521
accelerometer,smartwatch,1454460161032361328,-1.010,-5.568,7.540
accelerometer,smartwatch,1454460161036964600,-1.010,-5.472,7.483
accelerometer,smartwatch,1454460161041201661,-1.087,-5.395,7.406
accelerometer,smartwatch,1454460161046300293,-1.106,-5.338,7.463
accelerometer,smartwatch,1454460161050520996,-1.106,-5.376,7.425
accelerometer,smartwatch,1454460161053269775,-1.125,-5.414,7.444
accelerometer,smartwatch,1454460161057903565,-1.144,-5.434,7.463
accelerometer,smartwatch,1454460161061964599,-1.144,-5.434,7.463
accelerometer,smartwatch,1454460161066293213,-1.048,-5.510,7.425
accelerometer,smartwatch,1454460161071347168,-1.068,-5.606,7.425
accelerometer,smartwatch,1454460161076950439,-1.048,-5.663,7.406
accelerometer,smartwatch,1454460161082049072,-1.048,-5.759,7.406
accelerometer,smartwatch,1454460161086988037,-1.048,-5.855,7.387
accelerometer,smartwatch,1454460161091812012,-1.010,-5.989,7.425
accelerometer,smartwatch,1454460161096720459,-1.048,-6.065,7.444
accelerometer,smartwatch,1454460161100720459,-1.010,-6.065,7.387
accelerometer,smartwatch,1454460161105910644,-1.029,-6.085,7.406
accelerometer,smartwatch,1454460161109117187,-1.087,-6.046,7.329
accelerometer,smartwatch,1454460161112964600,-1.106,-6.085,7.253
accelerometer,smartwatch,1454460161116964599,-1.182,-6.123,7.214
accelerometer,smartwatch,1454460161122018555,-1.163,-6.257,7.272
accelerometer,smartwatch,1454460161127018555,-1.144,-6.276,7.310
accelerometer,smartwatch,1454460161132323730,-1.087,-6.257,7.387
accelerometer,smartwatch,1454460161137140625,-1.048,-6.180,7.463
accelerometer,smartwatch,1454460161141873047,-1.010,-6.085,7.559
accelerometer,smartwatch,1454460161147018554,-0.991,-6.085,7.578
accelerometer,smartwatch,1454460161151873047,-0.934,-6.046,7.597
accelerometer,smartwatch,1454460161155781494,-0.953,-5.989,7.655
accelerometer,smartwatch,1454460161158873046,-0.914,-5.931,7.597
accelerometer,smartwatch,1454460161163178223,-0.934,-5.912,7.540
accelerometer,smartwatch,1454460161167140625,-0.953,-6.008,7.521
accelerometer,smartwatch,1454460161172567871,-0.953,-6.046,7.521
accelerometer,smartwatch,1454460161176445801,-0.953,-6.123,7.521
accelerometer,smartwatch,1454460161181567871,-0.953,-6.104,7.521
