sensor_type, device_type, timestamps, x, y, z, 
gyroscope,smartphone,1454463927001843401,-0.016,0.135,-0.015
gyroscope,smartphone,1454463927006568385,-0.026,0.128,-0.023
gyroscope,smartphone,1454463927011245296,-0.034,0.121,-0.030
gyroscope,smartphone,1454463927016261790,-0.035,0.112,-0.037
gyroscope,smartphone,1454463927021388858,-0.038,0.106,-0.042
gyroscope,smartphone,1454463927027039934,-0.034,0.103,-0.042
gyroscope,smartphone,1454463927031735440,-0.028,0.104,-0.041
gyroscope,smartphone,1454463927036890683,-0.017,0.114,-0.038
gyroscope,smartphone,1454463927041671447,0.001,0.127,-0.033
gyroscope,smartphone,1454463927047042474,0.013,0.135,-0.029
gyroscope,smartphone,1454463927051819332,0.023,0.141,-0.024
gyroscope,smartphone,1454463927057219473,0.031,0.139,-0.021
gyroscope,smartphone,1454463927061787008,0.034,0.133,-0.021
gyroscope,smartphone,1454463927066758866,0.038,0.116,-0.025
gyroscope,smartphone,1454463927071940205,0.039,0.101,-0.027
gyroscope,smartphone,1454463927076636542,0.036,0.087,-0.031
gyroscope,smartphone,1454463927082121475,0.034,0.072,-0.033
gyroscope,smartphone,1454463927086952031,0.033,0.063,-0.035
gyroscope,smartphone,1454463927091965920,0.033,0.052,-0.036
gyroscope,smartphone,1454463927097002259,0.033,0.042,-0.035
gyroscope,smartphone,1454463927101699534,0.032,0.039,-0.036
gyroscope,smartphone,1454463927107123633,0.029,0.036,-0.034
gyroscope,smartphone,1454463927111856273,0.025,0.031,-0.033
gyroscope,smartphone,1454463927116903026,0.022,0.025,-0.031
gyroscope,smartphone,1454463927121917490,0.018,0.020,-0.028
gyroscope,smartphone,1454463927127246692,0.011,0.017,-0.025
gyroscope,smartphone,1454463927132615269,0.009,0.016,-0.025
gyroscope,smartphone,1454463927137182129,0.006,0.013,-0.023
gyroscope,smartphone,1454463927142756643,0.003,0.010,-0.019
gyroscope,smartphone,1454463927147004804,0.000,0.008,-0.019
gyroscope,smartphone,1454463927152995986,0.002,0.007,-0.017
gyroscope,smartphone,1454463927157408469,0.004,0.005,-0.014
gyroscope,smartphone,1454463927162580954,0.007,0.006,-0.011
gyroscope,smartphone,1454463927167957864,0.014,0.007,-0.008
gyroscope,smartphone,1454463927172424203,0.020,0.011,-0.003
gyroscope,smartphone,1454463927177798874,0.028,0.015,0.002
gyroscope,smartphone,1454463927182652763,0.035,0.019,0.003
gyroscope,smartphone,1454463927187603893,0.043,0.024,0.007
gyroscope,smartphone,1454463927192550647,0.046,0.028,0.009
gyroscope,smartphone,1454463927197484174,0.048,0.031,0.010
gyroscope,smartphone,1454463927202428271,0.050,0.033,0.008
gyroscope,smartphone,1454463927208365702,0.049,0.033,0.007
gyroscope,smartphone,1454463927212654437,0.046,0.033,0.005
gyroscope,smartphone,1454463927218421451,0.038,0.034,0.002
gyroscope,smartphone,1454463927223330341,0.029,0.035,0.001
gyroscope,smartphone,1454463927227818867,0.021,0.037,0.001
gyroscope,smartphone,1454463927233494371,0.015,0.041,0.001
gyroscope,smartphone,1454463927238444407,0.011,0.044,0.001
