sensor_type, device_type, timestamps, x, y, z, 
accelerometer,smartphone,1454458980007928545,0.020,0.510,9.888
accelerometer,smartphone,1454458980012551757,-0.006,0.491,9.968
accelerometer,smartphone,1454458980017321324,0.006,0.492,10.004
accelerometer,smartphone,1454458980022372558,0.015,0.513,9.978
accelerometer,smartphone,1454458980028253062,0.009,0.509,9.977
accelerometer,smartphone,1454458980032529816,0.030,0.515,9.965
accelerometer,smartphone,1454458980037911676,0.024,0.472,9.969
accelerometer,smartphone,1454458980042914107,0.014,0.485,9.961
accelerometer,smartphone,1454458980048128831,0.005,0.490,9.954
accelerometer,smartphone,1454458980053222199,-0.003,0.484,9.962
accelerometer,smartphone,1454458980057792027,0.012,0.475,9.964
accelerometer,smartphone,1454458980063112584,0.009,0.519,9.958
accelerometer,smartphone,1454458980068428765,0.035,0.519,9.951
accelerometer,smartphone,1454458980073478072,0.013,0.521,9.973
accelerometer,smartphone,1454458980077766181,0.011,0.512,10.015
accelerometer,smartphone,1454458980082975903,0.004,0.475,9.928
accelerometer,smartphone,1454458980088104326,-0.000,0.498,10.010
accelerometer,smartphone,1454458980092970506,-0.015,0.500,9.941
accelerometer,smartphone,1454458980097996220,-0.006,0.469,9.932
accelerometer,smartphone,1454458980103474432,0.011,0.471,9.948
accelerometer,smartphone,1454458980107903427,0.037,0.485,9.955
accelerometer,smartphone,1454458980113146848,-0.003,0.510,9.946
accelerometer,smartphone,1454458980118150946,0.026,0.532,9.933
accelerometer,smartphone,1454458980123264992,-0.003,0.509,9.925
accelerometer,smartphone,1454458980128061903,-0.006,0.507,9.947
accelerometer,smartphone,1454458980133150897,-0.023,0.509,9.980
accelerometer,smartphone,1454458980138787340,0.016,0.503,10.004
accelerometer,smartphone,1454458980143357792,0.031,0.512,9.986
accelerometer,smartphone,1454458980148370692,0.045,0.485,9.980
accelerometer,smartphone,1454458980153389687,0.001,0.461,9.985
accelerometer,smartphone,1454458980159149722,-0.023,0.506,9.970
accelerometer,smartphone,1454458980163462727,0.019,0.494,9.978
accelerometer,smartphone,1454458980168385835,0.025,0.490,10.030
accelerometer,smartphone,1454458980173917434,0.012,0.490,9.970
accelerometer,smartphone,1454458980178931533,0.039,0.465,9.930
accelerometer,smartphone,1454458980183779537,0.005,0.498,9.934
accelerometer,smartphone,1454458980188701552,0.024,0.507,9.963
accelerometer,smartphone,1454458980193941692,0.013,0.522,9.880
accelerometer,smartphone,1454458980198471727,-0.005,0.497,9.894
accelerometer,smartphone,1454458980204126399,-0.000,0.503,9.903
accelerometer,smartphone,1454458980208762320,-0.009,0.535,10.015
accelerometer,smartphone,1454458980214079805,0.042,0.521,9.932
accelerometer,smartphone,1454458980218694787,0.013,0.511,9.948
accelerometer,smartphone,1454458980223845969,-0.022,0.512,9.960
accelerometer,smartphone,1454458980228806942,0.005,0.501,9.985
accelerometer,smartphone,1454458980234386405,0.028,0.528,10.004
accelerometer,smartphone,1454458980239660659,0.029,0.504,9.946
accelerometer,smartphone,1454458980244092415,0.012,0.506,9.951
accelerometer,smartphone,1454458980249123648,-0.016,0.505,9.952
accelerometer,smartphone,1454458980254814049,0.018,0.488,9.949
accelerometer,smartphone,1454458980259773876,0.030,0.502,9.917
accelerometer,smartphone,1454458980263962453,0.006,0.516,9.917
