sensor_type, device_type, timestamps, data, 
phonestate,smartphone,1454461707516000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461707517000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461713695000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461713696000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461728857000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461728861000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461761579000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461761582000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461781468000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461781469000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461793822000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461793824000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461817306000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454461817309000000,DATA_ACTIVITY_NONE
