sensor_type, device_type, timestamps, pressure, 
pressure,smartphone,1454958065611114011,1029.634
pressure,smartphone,1454958065788660938,1029.739
pressure,smartphone,1454958065966655103,1028.682
pressure,smartphone,1454958066323292187,1028.999
pressure,smartphone,1454958066502777551,1029.531
pressure,smartphone,1454958066678417396,1029.591
pressure,smartphone,1454958066857722136,1030.060
pressure,smartphone,1454958067213859531,1028.828
pressure,smartphone,1454958067390329219,1029.260
pressure,smartphone,1454958067568450156,1029.695
pressure,smartphone,1454958067746130573,1029.026
pressure,smartphone,1454958067924006823,1029.423
pressure,smartphone,1454958068280387553,1028.736
pressure,smartphone,1454958068457350469,1028.893
pressure,smartphone,1454958068635970782,1029.023
pressure,smartphone,1454958068813343437,1029.621
pressure,smartphone,1454958068993609479,1029.192
pressure,smartphone,1454958069347073907,1029.216
pressure,smartphone,1454958069526193385,1028.875
pressure,smartphone,1454958069703632447,1028.995
pressure,smartphone,1454958069882673854,1029.175
pressure,smartphone,1454958070238791458,1029.741
pressure,smartphone,1454958070416733489,1029.334
pressure,smartphone,1454958070594737448,1029.012
pressure,smartphone,1454958070772085937,1029.094
pressure,smartphone,1454958070948673595,1029.331
pressure,smartphone,1454958071126233282,1029.462
pressure,smartphone,1454958071304689895,1029.694
pressure,smartphone,1454958071482669531,1028.755
pressure,smartphone,1454958071660391563,1028.873
pressure,smartphone,1454958071839732136,1029.004
pressure,smartphone,1454958072194091615,1029.410
pressure,smartphone,1454958072373552864,1029.994
pressure,smartphone,1454958072551787813,1029.408
pressure,smartphone,1454958072729849584,1028.798
pressure,smartphone,1454958072907801979,1029.037
pressure,smartphone,1454958073261615990,1029.541
pressure,smartphone,1454958073441027084,1029.719
pressure,smartphone,1454958073617642032,1029.579
pressure,smartphone,1454958073796862396,1028.984
pressure,smartphone,1454958073973841353,1029.083
pressure,smartphone,1454958074330825105,1029.388
pressure,smartphone,1454958074508795938,1029.621
pressure,smartphone,1454958074685299218,1028.707
pressure,smartphone,1454958074863024895,1028.892
pressure,smartphone,1454958075218501407,1029.266
pressure,smartphone,1454958075396768854,1029.599
pressure,smartphone,1454958075574161927,1029.855
pressure,smartphone,1454958075752088073,1029.511
pressure,smartphone,1454958075930120782,1028.721
pressure,smartphone,1454958076287929115,1029.369
pressure,smartphone,1454958076464433437,1029.369
pressure,smartphone,1454958076642116562,1029.507
pressure,smartphone,1454958076819518490,1029.724
pressure,smartphone,1454958076997165261,1028.807
