sensor_type, device_type, timestamps, x, y, z, 
gyroscope,smartphone,1454957672004043593,0.027,0.051,-0.012
gyroscope,smartphone,1454957672009560729,0.019,0.064,-0.009
gyroscope,smartphone,1454957672013777448,0.013,0.074,-0.009
gyroscope,smartphone,1454957672019251303,0.010,0.075,-0.008
gyroscope,smartphone,1454957672023473593,0.011,0.073,-0.007
gyroscope,smartphone,1454957672029014375,0.018,0.068,-0.006
gyroscope,smartphone,1454957672034212656,0.024,0.061,-0.006
gyroscope,smartphone,1454957672039665625,0.030,0.056,-0.005
gyroscope,smartphone,1454957672044022500,0.036,0.057,-0.005
gyroscope,smartphone,1454957672050051302,0.044,0.058,-0.001
gyroscope,smartphone,1454957672053750834,0.052,0.060,0.001
gyroscope,smartphone,1454957672059248646,0.059,0.063,0.000
gyroscope,smartphone,1454957672063466146,0.061,0.064,-0.002
gyroscope,smartphone,1454957672068968178,0.062,0.065,-0.005
gyroscope,smartphone,1454957672073175625,0.062,0.065,-0.005
gyroscope,smartphone,1454957672078665366,0.066,0.059,-0.012
gyroscope,smartphone,1454957672082901094,0.066,0.059,-0.012
gyroscope,smartphone,1454957672088869010,0.070,0.054,-0.025
gyroscope,smartphone,1454957672093063437,0.070,0.054,-0.025
gyroscope,smartphone,1454957672098613125,0.079,0.045,-0.036
gyroscope,smartphone,1454957672103187083,0.079,0.045,-0.036
gyroscope,smartphone,1454957672108771615,0.091,0.027,-0.042
gyroscope,smartphone,1454957672112974948,0.091,0.027,-0.042
gyroscope,smartphone,1454957672118533073,0.095,0.020,-0.043
gyroscope,smartphone,1454957672122486250,0.100,0.017,-0.046
gyroscope,smartphone,1454957672128452083,0.102,0.020,-0.044
gyroscope,smartphone,1454957672132512604,0.102,0.020,-0.044
gyroscope,smartphone,1454957672137834323,0.097,0.022,-0.037
gyroscope,smartphone,1454957672142622604,0.091,0.020,-0.038
gyroscope,smartphone,1454957672148441458,0.087,0.018,-0.040
gyroscope,smartphone,1454957672152515364,0.085,0.015,-0.041
gyroscope,smartphone,1454957672158161458,0.083,0.014,-0.037
gyroscope,smartphone,1454957672162508073,0.083,0.012,-0.038
gyroscope,smartphone,1454957672167643437,0.080,0.010,-0.036
gyroscope,smartphone,1454957672172516302,0.070,-0.001,-0.027
gyroscope,smartphone,1454957672177713073,0.057,-0.011,-0.022
gyroscope,smartphone,1454957672181493021,0.047,-0.013,-0.020
gyroscope,smartphone,1454957672187129948,0.050,-0.005,-0.019
gyroscope,smartphone,1454957672192326927,0.057,0.001,-0.022
gyroscope,smartphone,1454957672197530834,0.067,0.008,-0.024
gyroscope,smartphone,1454957672201288490,0.076,0.003,-0.014
gyroscope,smartphone,1454957672207772292,0.084,-0.007,-0.001
gyroscope,smartphone,1454957672212147240,0.096,-0.013,0.003
gyroscope,smartphone,1454957672217057032,0.108,-0.011,0.003
gyroscope,smartphone,1454957672221253177,0.124,-0.005,0.002
gyroscope,smartphone,1454957672227455521,0.138,-0.006,0.009
gyroscope,smartphone,1454957672231273281,0.146,-0.015,0.022
gyroscope,smartphone,1454957672237252813,0.150,-0.022,0.034
gyroscope,smartphone,1454957672241347917,0.156,-0.015,0.041
gyroscope,smartphone,1454957672246494219,0.161,-0.002,0.047
gyroscope,smartphone,1454957672250693907,0.161,0.009,0.051
gyroscope,smartphone,1454957672256956406,0.164,0.025,0.052
gyroscope,smartphone,1454957672261138594,0.174,0.042,0.054
gyroscope,smartphone,1454957672266376614,0.198,0.052,0.058
gyroscope,smartphone,1454957672271321980,0.233,0.057,0.061
gyroscope,smartphone,1454957672277029532,0.271,0.070,0.065
gyroscope,smartphone,1454957672281285000,0.299,0.072,0.072
gyroscope,smartphone,1454957672286915259,0.318,0.053,0.078
gyroscope,smartphone,1454957672291289844,0.333,0.026,0.089
gyroscope,smartphone,1454957672295177187,0.345,-0.007,0.105
gyroscope,smartphone,1454957672300392187,0.354,-0.038,0.111
