sensor_type, device_type, timestamps, ssid, bssid, frequency, level, 
wlan,smartphone,1454961101956984220,Maximus5,d0:03:4b:d7:eb:96,2437.000,-88.000
wlan,smartphone,1454961101956919106,NETGEAR72,a0:63:91:46:63:37,2432.000,-93.000
wlan,smartphone,1454961101956883835,House Warwick II-guest,22:aa:4b:61:b1:c7,2422.000,-86.000
wlan,smartphone,1454961101956936772,Halipatsuippa-guest,16:91:82:28:74:5e,2457.000,-92.000
wlan,smartphone,1454961105438749315,Maximus5,d0:03:4b:d7:eb:97,5745.000,-91.000
wlan,smartphone,1454961105438589648,Maximus5,d0:03:4b:d7:eb:96,2437.000,-82.000
wlan,smartphone,1454961105438648763,,94:b4:0f:58:16:f4,5745.000,-85.000
wlan,smartphone,1454961105438558794,,94:b4:0f:58:16:f0,5745.000,-85.000
wlan,smartphone,1454961105438557055,HSB_Guest,94:b4:0f:58:16:f1,5745.000,-85.000
wlan,smartphone,1454961105438469575,Linksys08210,c0:56:27:d0:2f:cb,2422.000,-81.000
wlan,smartphone,1454961105438551617,,94:b4:0f:58:16:f3,5745.000,-86.000
wlan,smartphone,1454961105438515450,,94:b4:0f:58:16:f2,5745.000,-87.000
wlan,smartphone,1454961105438362273,swaaa,44:ad:d9:f0:f6:c3,2412.000,-85.000
wlan,smartphone,1454961105438363315,WIRELESSNET2,44:ad:d9:f0:f6:c4,2412.000,-85.000
wlan,smartphone,1454961105439359461,swsecure,44:ad:d9:f0:f6:c2,2412.000,-86.000
wlan,smartphone,1454961105439166222,NETGEAR86-arlo_246924,a2:63:91:e7:a4:31,2437.000,-80.000
wlan,smartphone,1454961105439226191,Maximus5,d0:03:4b:d7:eb:97,5745.000,-91.000
wlan,smartphone,1454961108911041389,Maximus5,d0:03:4b:d7:eb:96,2437.000,-90.000
wlan,smartphone,1454961108911089961,,94:b4:0f:58:16:f4,5745.000,-87.000
wlan,smartphone,1454961108911001920,,94:b4:0f:58:16:f0,5745.000,-89.000
wlan,smartphone,1454961108910985201,HSB_Guest,94:b4:0f:58:16:f1,5745.000,-88.000
wlan,smartphone,1454961105438948899,Linksys08210,c0:56:27:d0:2f:cb,2422.000,-81.000
wlan,smartphone,1454961108910965066,,94:b4:0f:58:16:f3,5745.000,-88.000
wlan,smartphone,1454961108910923857,,94:b4:0f:58:16:f2,5745.000,-88.000
